AvgFitness=8.55007e-06 StdDev=8.63961e-07
AvgFitness=8.57397e-06 StdDev=8.98321e-07
AvgFitness=8.57959e-06 StdDev=8.9639e-07
AvgFitness=8.50233e-06 StdDev=8.8943e-07
AvgFitness=8.51249e-06 StdDev=8.54564e-07
AvgFitness=8.5015e-06 StdDev=8.89115e-07
AvgFitness=8.54887e-06 StdDev=8.82121e-07
AvgFitness=8.58896e-06 StdDev=8.8054e-07
AvgFitness=8.58337e-06 StdDev=9.0109e-07
AvgFitness=8.58806e-06 StdDev=8.97462e-07
AvgFitness=8.59114e-06 StdDev=8.97051e-07
AvgFitness=8.54406e-06 StdDev=8.97806e-07
AvgFitness=8.55149e-06 StdDev=8.99927e-07
AvgFitness=8.5278e-06 StdDev=9.138e-07
AvgFitness=8.55302e-06 StdDev=9.19547e-07
AvgFitness=8.55434e-06 StdDev=9.22502e-07
AvgFitness=8.58481e-06 StdDev=9.21717e-07
AvgFitness=8.56001e-06 StdDev=9.60287e-07
AvgFitness=8.5993e-06 StdDev=9.85591e-07
AvgFitness=8.5968e-06 StdDev=9.93013e-07
AvgFitness=8.59167e-06 StdDev=9.8414e-07
AvgFitness=8.62658e-06 StdDev=1.02523e-06
AvgFitness=8.59129e-06 StdDev=1.00747e-06
AvgFitness=8.6024e-06 StdDev=1.00882e-06
AvgFitness=8.60171e-06 StdDev=1.01031e-06
AvgFitness=8.63233e-06 StdDev=9.9927e-07
AvgFitness=8.64703e-06 StdDev=1.00247e-06
AvgFitness=8.73668e-06 StdDev=1.0037e-06
AvgFitness=8.79932e-06 StdDev=1.02917e-06
AvgFitness=8.81204e-06 StdDev=1.01126e-06
AvgFitness=8.83963e-06 StdDev=1.00322e-06
AvgFitness=8.84062e-06 StdDev=1.00252e-06
AvgFitness=8.86409e-06 StdDev=9.81408e-07
AvgFitness=8.88449e-06 StdDev=9.76454e-07
AvgFitness=8.90354e-06 StdDev=9.87812e-07
AvgFitness=8.94802e-06 StdDev=9.73068e-07
AvgFitness=8.95544e-06 StdDev=1.00208e-06
AvgFitness=8.96738e-06 StdDev=9.98563e-07
AvgFitness=8.97331e-06 StdDev=1.01644e-06
AvgFitness=8.97324e-06 StdDev=1.02591e-06
AvgFitness=9.04537e-06 StdDev=1.03237e-06
AvgFitness=9.03462e-06 StdDev=1.01296e-06
AvgFitness=9.03393e-06 StdDev=1.00477e-06
AvgFitness=9.0379e-06 StdDev=9.70123e-07
AvgFitness=8.98068e-06 StdDev=9.33113e-07
AvgFitness=8.96965e-06 StdDev=9.19506e-07
AvgFitness=8.96609e-06 StdDev=9.06867e-07
AvgFitness=8.93513e-06 StdDev=9.02809e-07
AvgFitness=8.89829e-06 StdDev=9.06207e-07
AvgFitness=8.83319e-06 StdDev=9.1884e-07
AvgFitness=8.78627e-06 StdDev=8.88374e-07
AvgFitness=8.75781e-06 StdDev=8.90568e-07
AvgFitness=8.79689e-06 StdDev=8.83632e-07
AvgFitness=8.78516e-06 StdDev=8.74224e-07
AvgFitness=8.85598e-06 StdDev=8.83846e-07
AvgFitness=8.86133e-06 StdDev=8.88589e-07
AvgFitness=8.86685e-06 StdDev=8.71492e-07
AvgFitness=8.85824e-06 StdDev=9.0475e-07
AvgFitness=8.93027e-06 StdDev=8.96473e-07
AvgFitness=8.93198e-06 StdDev=9.05513e-07
AvgFitness=8.9426e-06 StdDev=9.28922e-07
AvgFitness=8.93998e-06 StdDev=9.49011e-07
AvgFitness=8.89774e-06 StdDev=9.51525e-07
AvgFitness=8.91657e-06 StdDev=9.4406e-07
AvgFitness=8.89047e-06 StdDev=9.31288e-07
AvgFitness=8.91597e-06 StdDev=8.9605e-07
AvgFitness=8.912e-06 StdDev=9.17145e-07
AvgFitness=8.88327e-06 StdDev=9.32636e-07
AvgFitness=8.88223e-06 StdDev=9.54151e-07
AvgFitness=8.87891e-06 StdDev=9.77315e-07
AvgFitness=8.9403e-06 StdDev=9.84067e-07
AvgFitness=9.00699e-06 StdDev=1.01969e-06
AvgFitness=9.0068e-06 StdDev=9.97735e-07
AvgFitness=9.01617e-06 StdDev=1.0183e-06
AvgFitness=9.02246e-06 StdDev=1.01391e-06
AvgFitness=8.9662e-06 StdDev=1.03158e-06
AvgFitness=8.91975e-06 StdDev=1.05035e-06
AvgFitness=8.93213e-06 StdDev=1.04201e-06
AvgFitness=8.95889e-06 StdDev=1.0367e-06
AvgFitness=8.93569e-06 StdDev=9.9697e-07
AvgFitness=8.95201e-06 StdDev=9.95068e-07
AvgFitness=8.96904e-06 StdDev=1.01042e-06
AvgFitness=9.01247e-06 StdDev=1.03546e-06
AvgFitness=9.0384e-06 StdDev=1.0303e-06
AvgFitness=9.06542e-06 StdDev=1.05851e-06
AvgFitness=9.05747e-06 StdDev=1.05091e-06
AvgFitness=9.0722e-06 StdDev=1.04602e-06
AvgFitness=9.09372e-06 StdDev=1.06567e-06
AvgFitness=9.13721e-06 StdDev=1.08234e-06
AvgFitness=9.15542e-06 StdDev=1.05399e-06
AvgFitness=9.15192e-06 StdDev=1.03372e-06
AvgFitness=9.17388e-06 StdDev=1.05899e-06
AvgFitness=9.23549e-06 StdDev=1.08275e-06
AvgFitness=9.23572e-06 StdDev=1.09251e-06
AvgFitness=9.29667e-06 StdDev=1.11217e-06
AvgFitness=9.23289e-06 StdDev=1.11948e-06
AvgFitness=9.23997e-06 StdDev=1.1068e-06
AvgFitness=9.2757e-06 StdDev=1.11538e-06
AvgFitness=9.28536e-06 StdDev=1.1255e-06
AvgFitness=9.2844e-06 StdDev=1.1213e-06
AvgFitness=9.28545e-06 StdDev=1.14466e-06
AvgFitness=9.28947e-06 StdDev=1.12978e-06
AvgFitness=9.27143e-06 StdDev=1.11365e-06
AvgFitness=9.25395e-06 StdDev=1.14504e-06
AvgFitness=9.2881e-06 StdDev=1.15859e-06
AvgFitness=9.3026e-06 StdDev=1.12513e-06
AvgFitness=9.35839e-06 StdDev=1.12477e-06
AvgFitness=9.41649e-06 StdDev=1.10908e-06
AvgFitness=9.41827e-06 StdDev=1.09054e-06
AvgFitness=9.38126e-06 StdDev=1.07434e-06
AvgFitness=9.37171e-06 StdDev=1.07882e-06
AvgFitness=9.37826e-06 StdDev=1.08288e-06
AvgFitness=9.41855e-06 StdDev=1.07131e-06
AvgFitness=9.44496e-06 StdDev=1.09638e-06
AvgFitness=9.46654e-06 StdDev=1.13334e-06
AvgFitness=9.47248e-06 StdDev=1.15043e-06
AvgFitness=9.51246e-06 StdDev=1.16035e-06
AvgFitness=9.57956e-06 StdDev=1.15893e-06
AvgFitness=9.64868e-06 StdDev=1.18333e-06
AvgFitness=9.6859e-06 StdDev=1.14013e-06
AvgFitness=9.61587e-06 StdDev=1.07893e-06
AvgFitness=9.60498e-06 StdDev=1.069e-06
AvgFitness=9.62226e-06 StdDev=1.0625e-06
AvgFitness=9.61979e-06 StdDev=1.06407e-06
AvgFitness=9.63763e-06 StdDev=1.07786e-06
AvgFitness=9.59545e-06 StdDev=1.06421e-06
AvgFitness=9.62137e-06 StdDev=1.0774e-06
AvgFitness=9.61507e-06 StdDev=1.09977e-06
AvgFitness=9.61012e-06 StdDev=1.11008e-06
AvgFitness=9.59891e-06 StdDev=1.0832e-06
AvgFitness=9.56758e-06 StdDev=1.09704e-06
AvgFitness=9.56708e-06 StdDev=1.11409e-06
AvgFitness=9.5286e-06 StdDev=1.1532e-06
AvgFitness=9.53106e-06 StdDev=1.16656e-06
AvgFitness=9.57294e-06 StdDev=1.1686e-06
AvgFitness=9.59831e-06 StdDev=1.17124e-06
AvgFitness=9.60988e-06 StdDev=1.16407e-06
AvgFitness=9.60681e-06 StdDev=1.17359e-06
AvgFitness=9.55303e-06 StdDev=1.16822e-06
AvgFitness=9.64448e-06 StdDev=1.19116e-06
AvgFitness=9.70756e-06 StdDev=1.20407e-06
AvgFitness=9.7303e-06 StdDev=1.21237e-06
AvgFitness=9.72098e-06 StdDev=1.18364e-06
AvgFitness=9.78606e-06 StdDev=1.14574e-06
AvgFitness=9.78841e-06 StdDev=1.12852e-06
AvgFitness=9.762e-06 StdDev=1.08493e-06
AvgFitness=9.74633e-06 StdDev=1.05685e-06
AvgFitness=9.7101e-06 StdDev=1.06363e-06
AvgFitness=9.69413e-06 StdDev=1.09341e-06
AvgFitness=9.63864e-06 StdDev=1.07881e-06
AvgFitness=9.65218e-06 StdDev=1.08527e-06
AvgFitness=9.6335e-06 StdDev=1.06805e-06
AvgFitness=9.59953e-06 StdDev=1.12756e-06
AvgFitness=9.60742e-06 StdDev=1.13287e-06
AvgFitness=9.59699e-06 StdDev=1.16317e-06
AvgFitness=9.60263e-06 StdDev=1.20037e-06
AvgFitness=9.61995e-06 StdDev=1.1984e-06
AvgFitness=9.63178e-06 StdDev=1.22317e-06
AvgFitness=9.66385e-06 StdDev=1.18897e-06
AvgFitness=9.71894e-06 StdDev=1.20106e-06
AvgFitness=9.79926e-06 StdDev=1.16903e-06
AvgFitness=9.79811e-06 StdDev=1.12665e-06
AvgFitness=9.80795e-06 StdDev=1.15229e-06
AvgFitness=9.86575e-06 StdDev=1.17276e-06
AvgFitness=9.88493e-06 StdDev=1.17847e-06
AvgFitness=9.93743e-06 StdDev=1.18478e-06
AvgFitness=9.91715e-06 StdDev=1.14993e-06
AvgFitness=9.95034e-06 StdDev=1.13443e-06
AvgFitness=9.87196e-06 StdDev=1.11218e-06
AvgFitness=9.84736e-06 StdDev=1.09349e-06
AvgFitness=9.83109e-06 StdDev=1.07928e-06
AvgFitness=9.80679e-06 StdDev=1.07956e-06
AvgFitness=9.78202e-06 StdDev=1.08208e-06
AvgFitness=9.76739e-06 StdDev=1.05455e-06
AvgFitness=9.72775e-06 StdDev=1.04106e-06
AvgFitness=9.67985e-06 StdDev=1.07971e-06
AvgFitness=9.73681e-06 StdDev=1.11633e-06
AvgFitness=9.80542e-06 StdDev=1.12681e-06
AvgFitness=9.82941e-06 StdDev=1.13293e-06
AvgFitness=9.78197e-06 StdDev=1.15298e-06
AvgFitness=9.82203e-06 StdDev=1.19125e-06
AvgFitness=9.84972e-06 StdDev=1.19932e-06
AvgFitness=9.89031e-06 StdDev=1.15953e-06
AvgFitness=9.86563e-06 StdDev=1.1648e-06
AvgFitness=9.88846e-06 StdDev=1.18516e-06
AvgFitness=9.81703e-06 StdDev=1.15763e-06
AvgFitness=9.82264e-06 StdDev=1.14286e-06
AvgFitness=9.76681e-06 StdDev=1.15872e-06
AvgFitness=9.84009e-06 StdDev=1.16165e-06
AvgFitness=9.76695e-06 StdDev=1.14549e-06
AvgFitness=9.72768e-06 StdDev=1.1533e-06
AvgFitness=9.78848e-06 StdDev=1.14537e-06
AvgFitness=9.73547e-06 StdDev=1.14006e-06
AvgFitness=9.78502e-06 StdDev=1.14903e-06
AvgFitness=9.76238e-06 StdDev=1.13032e-06
AvgFitness=9.72622e-06 StdDev=1.14629e-06
AvgFitness=9.76713e-06 StdDev=1.18129e-06
AvgFitness=9.71947e-06 StdDev=1.15101e-06
AvgFitness=9.75006e-06 StdDev=1.13911e-06
AvgFitness=9.78432e-06 StdDev=1.14944e-06
AvgFitness=9.86679e-06 StdDev=1.13686e-06
AvgFitness=9.80866e-06 StdDev=1.11312e-06
AvgFitness=9.79629e-06 StdDev=1.08349e-06
AvgFitness=9.76802e-06 StdDev=1.06703e-06
AvgFitness=9.72508e-06 StdDev=1.07058e-06
AvgFitness=9.66881e-06 StdDev=1.08065e-06
AvgFitness=9.73139e-06 StdDev=1.09469e-06
AvgFitness=9.69061e-06 StdDev=1.06902e-06
AvgFitness=9.63502e-06 StdDev=1.04998e-06
AvgFitness=9.56311e-06 StdDev=1.04811e-06
AvgFitness=9.56633e-06 StdDev=1.08863e-06
AvgFitness=9.54381e-06 StdDev=1.07894e-06
AvgFitness=9.6067e-06 StdDev=1.09955e-06
AvgFitness=9.59339e-06 StdDev=1.09253e-06
AvgFitness=9.58957e-06 StdDev=1.0894e-06
AvgFitness=9.57338e-06 StdDev=1.11219e-06
AvgFitness=9.65399e-06 StdDev=1.11142e-06
AvgFitness=9.63751e-06 StdDev=1.08877e-06
AvgFitness=9.65234e-06 StdDev=1.07649e-06
AvgFitness=9.6638e-06 StdDev=1.09571e-06
AvgFitness=9.69133e-06 StdDev=1.11208e-06
AvgFitness=9.66853e-06 StdDev=1.0513e-06
AvgFitness=9.58575e-06 StdDev=1.03648e-06
AvgFitness=9.5879e-06 StdDev=1.05507e-06
AvgFitness=9.52831e-06 StdDev=1.05714e-06
AvgFitness=9.54474e-06 StdDev=1.06802e-06
AvgFitness=9.54089e-06 StdDev=1.08021e-06
AvgFitness=9.52858e-06 StdDev=1.08908e-06
AvgFitness=9.52555e-06 StdDev=1.11673e-06
AvgFitness=9.58668e-06 StdDev=1.11217e-06
AvgFitness=9.58028e-06 StdDev=1.12911e-06
AvgFitness=9.56418e-06 StdDev=1.09287e-06
AvgFitness=9.52097e-06 StdDev=1.05708e-06
AvgFitness=9.51649e-06 StdDev=1.07759e-06
AvgFitness=9.51788e-06 StdDev=1.09266e-06
AvgFitness=9.57055e-06 StdDev=1.09484e-06
AvgFitness=9.59185e-06 StdDev=1.08741e-06
AvgFitness=9.55324e-06 StdDev=1.08281e-06
AvgFitness=9.48239e-06 StdDev=1.04903e-06
AvgFitness=9.49406e-06 StdDev=1.0051e-06
AvgFitness=9.447e-06 StdDev=1.0314e-06
AvgFitness=9.48022e-06 StdDev=1.03248e-06
AvgFitness=9.48886e-06 StdDev=1.04961e-06
AvgFitness=9.52882e-06 StdDev=1.06683e-06
AvgFitness=9.51277e-06 StdDev=1.10912e-06
AvgFitness=9.52e-06 StdDev=1.0835e-06
AvgFitness=9.51782e-06 StdDev=1.03897e-06
AvgFitness=9.49986e-06 StdDev=1.07226e-06
AvgFitness=9.47109e-06 StdDev=1.09003e-06
AvgFitness=9.39385e-06 StdDev=1.12168e-06
AvgFitness=9.40544e-06 StdDev=1.14839e-06
AvgFitness=9.41726e-06 StdDev=1.15112e-06
AvgFitness=9.49617e-06 StdDev=1.17817e-06
AvgFitness=9.52205e-06 StdDev=1.17757e-06
AvgFitness=9.52002e-06 StdDev=1.15211e-06
AvgFitness=9.52893e-06 StdDev=1.14797e-06
AvgFitness=9.56129e-06 StdDev=1.18625e-06
AvgFitness=9.6602e-06 StdDev=1.19791e-06
AvgFitness=9.71169e-06 StdDev=1.1915e-06
AvgFitness=9.77754e-06 StdDev=1.18003e-06
AvgFitness=9.79426e-06 StdDev=1.20018e-06
AvgFitness=9.80551e-06 StdDev=1.2431e-06
AvgFitness=9.83169e-06 StdDev=1.22636e-06
AvgFitness=9.91424e-06 StdDev=1.21833e-06
AvgFitness=9.90505e-06 StdDev=1.22645e-06
AvgFitness=9.89293e-06 StdDev=1.25613e-06
AvgFitness=9.95555e-06 StdDev=1.25309e-06
AvgFitness=9.981e-06 StdDev=1.25032e-06
AvgFitness=1.00439e-05 StdDev=1.2804e-06
AvgFitness=1.00704e-05 StdDev=1.25196e-06
AvgFitness=1.01024e-05 StdDev=1.23958e-06
AvgFitness=1.00781e-05 StdDev=1.28821e-06
AvgFitness=1.00728e-05 StdDev=1.2839e-06
AvgFitness=1.00248e-05 StdDev=1.30469e-06
AvgFitness=1.00894e-05 StdDev=1.2816e-06
AvgFitness=1.0073e-05 StdDev=1.27765e-06
AvgFitness=1.01118e-05 StdDev=1.22804e-06
AvgFitness=1.00944e-05 StdDev=1.21239e-06
AvgFitness=1.00689e-05 StdDev=1.19301e-06
AvgFitness=1.00804e-05 StdDev=1.18423e-06
AvgFitness=1.0112e-05 StdDev=1.17805e-06
AvgFitness=1.01132e-05 StdDev=1.16304e-06
AvgFitness=1.00329e-05 StdDev=1.15854e-06
AvgFitness=1.00623e-05 StdDev=1.18371e-06
AvgFitness=1.00272e-05 StdDev=1.21736e-06
AvgFitness=1.00033e-05 StdDev=1.19987e-06
AvgFitness=9.99122e-06 StdDev=1.19792e-06
AvgFitness=9.99759e-06 StdDev=1.23264e-06
AvgFitness=1.00713e-05 StdDev=1.22533e-06
AvgFitness=1.01052e-05 StdDev=1.23092e-06
AvgFitness=1.01282e-05 StdDev=1.22942e-06
AvgFitness=1.01177e-05 StdDev=1.23354e-06
AvgFitness=1.01292e-05 StdDev=1.2229e-06
AvgFitness=1.01254e-05 StdDev=1.18407e-06
AvgFitness=1.0116e-05 StdDev=1.23033e-06
AvgFitness=1.01981e-05 StdDev=1.26707e-06
AvgFitness=1.0202e-05 StdDev=1.28261e-06
AvgFitness=1.02135e-05 StdDev=1.33118e-06
AvgFitness=1.02162e-05 StdDev=1.32708e-06
AvgFitness=1.02488e-05 StdDev=1.32727e-06
AvgFitness=1.02025e-05 StdDev=1.30745e-06
AvgFitness=1.01744e-05 StdDev=1.24236e-06
AvgFitness=1.02274e-05 StdDev=1.22022e-06
AvgFitness=1.02627e-05 StdDev=1.20833e-06
AvgFitness=1.02677e-05 StdDev=1.2431e-06
AvgFitness=1.02358e-05 StdDev=1.20409e-06
AvgFitness=1.03198e-05 StdDev=1.23047e-06
AvgFitness=1.03216e-05 StdDev=1.20596e-06
