AvgFitness=9.16422e-06 StdDev=1.00154e-06
AvgFitness=9.20901e-06 StdDev=1.03199e-06
AvgFitness=9.2783e-06 StdDev=1.02519e-06
AvgFitness=9.28793e-06 StdDev=1.07738e-06
AvgFitness=9.30104e-06 StdDev=1.10342e-06
AvgFitness=9.35995e-06 StdDev=1.11673e-06
AvgFitness=9.37408e-06 StdDev=1.11302e-06
AvgFitness=9.42579e-06 StdDev=1.08144e-06
AvgFitness=9.44459e-06 StdDev=1.08296e-06
AvgFitness=9.44738e-06 StdDev=1.08007e-06
AvgFitness=9.46643e-06 StdDev=1.08691e-06
AvgFitness=9.46223e-06 StdDev=1.0865e-06
AvgFitness=9.44535e-06 StdDev=1.06363e-06
AvgFitness=9.4264e-06 StdDev=1.0521e-06
AvgFitness=9.45546e-06 StdDev=1.05322e-06
AvgFitness=9.45703e-06 StdDev=1.05251e-06
AvgFitness=9.4769e-06 StdDev=1.05153e-06
AvgFitness=9.49787e-06 StdDev=1.04175e-06
AvgFitness=9.53552e-06 StdDev=1.02966e-06
AvgFitness=9.56514e-06 StdDev=1.0597e-06
AvgFitness=9.46396e-06 StdDev=1.05866e-06
AvgFitness=9.49761e-06 StdDev=1.08748e-06
AvgFitness=9.53267e-06 StdDev=1.09338e-06
AvgFitness=9.57879e-06 StdDev=1.10385e-06
AvgFitness=9.60834e-06 StdDev=1.14055e-06
AvgFitness=9.63601e-06 StdDev=1.12155e-06
AvgFitness=9.63207e-06 StdDev=1.18255e-06
AvgFitness=9.63742e-06 StdDev=1.17485e-06
AvgFitness=9.67558e-06 StdDev=1.16294e-06
AvgFitness=9.68414e-06 StdDev=1.19587e-06
AvgFitness=9.72225e-06 StdDev=1.16644e-06
AvgFitness=9.75096e-06 StdDev=1.15737e-06
AvgFitness=9.744e-06 StdDev=1.13616e-06
AvgFitness=9.75464e-06 StdDev=1.144e-06
AvgFitness=9.73381e-06 StdDev=1.13688e-06
AvgFitness=9.76057e-06 StdDev=1.11662e-06
AvgFitness=9.78119e-06 StdDev=1.08977e-06
AvgFitness=9.75209e-06 StdDev=1.10134e-06
AvgFitness=9.73533e-06 StdDev=1.06261e-06
AvgFitness=9.74229e-06 StdDev=1.0798e-06
AvgFitness=9.72884e-06 StdDev=1.06797e-06
AvgFitness=9.76332e-06 StdDev=1.05556e-06
AvgFitness=9.73191e-06 StdDev=1.07008e-06
AvgFitness=9.69154e-06 StdDev=1.05757e-06
AvgFitness=9.73312e-06 StdDev=1.07433e-06
AvgFitness=9.68047e-06 StdDev=1.0951e-06
AvgFitness=9.65153e-06 StdDev=1.1052e-06
AvgFitness=9.61914e-06 StdDev=1.09044e-06
AvgFitness=9.64623e-06 StdDev=1.10212e-06
AvgFitness=9.6598e-06 StdDev=1.10614e-06
AvgFitness=9.72947e-06 StdDev=1.13614e-06
AvgFitness=9.69503e-06 StdDev=1.17075e-06
AvgFitness=9.68727e-06 StdDev=1.14943e-06
AvgFitness=9.71175e-06 StdDev=1.11064e-06
AvgFitness=9.68248e-06 StdDev=1.13173e-06
AvgFitness=9.61746e-06 StdDev=1.14379e-06
AvgFitness=9.61695e-06 StdDev=1.19052e-06
AvgFitness=9.62008e-06 StdDev=1.19447e-06
AvgFitness=9.61766e-06 StdDev=1.16643e-06
AvgFitness=9.62468e-06 StdDev=1.17621e-06
AvgFitness=9.62859e-06 StdDev=1.15624e-06
AvgFitness=9.59104e-06 StdDev=1.15682e-06
AvgFitness=9.59822e-06 StdDev=1.17271e-06
AvgFitness=9.59071e-06 StdDev=1.20137e-06
AvgFitness=9.65899e-06 StdDev=1.20424e-06
AvgFitness=9.67303e-06 StdDev=1.19043e-06
AvgFitness=9.66148e-06 StdDev=1.21355e-06
AvgFitness=9.67608e-06 StdDev=1.19265e-06
AvgFitness=9.6815e-06 StdDev=1.1984e-06
AvgFitness=9.71099e-06 StdDev=1.16807e-06
AvgFitness=9.7328e-06 StdDev=1.13601e-06
AvgFitness=9.72528e-06 StdDev=1.13735e-06
AvgFitness=9.72985e-06 StdDev=1.12919e-06
AvgFitness=9.73818e-06 StdDev=1.11132e-06
AvgFitness=9.75273e-06 StdDev=1.11286e-06
AvgFitness=9.80912e-06 StdDev=1.1057e-06
AvgFitness=9.78288e-06 StdDev=1.11857e-06
AvgFitness=9.83802e-06 StdDev=1.16058e-06
AvgFitness=9.81932e-06 StdDev=1.18558e-06
AvgFitness=9.78803e-06 StdDev=1.19721e-06
AvgFitness=9.83597e-06 StdDev=1.20854e-06
AvgFitness=9.86601e-06 StdDev=1.22941e-06
AvgFitness=9.83184e-06 StdDev=1.21559e-06
AvgFitness=9.80147e-06 StdDev=1.21636e-06
AvgFitness=9.83976e-06 StdDev=1.22841e-06
AvgFitness=9.84148e-06 StdDev=1.27034e-06
AvgFitness=9.87459e-06 StdDev=1.28766e-06
AvgFitness=9.96697e-06 StdDev=1.27063e-06
AvgFitness=9.99648e-06 StdDev=1.26665e-06
AvgFitness=1.00171e-05 StdDev=1.23015e-06
AvgFitness=1.00376e-05 StdDev=1.22952e-06
AvgFitness=1.00468e-05 StdDev=1.20797e-06
AvgFitness=1.00442e-05 StdDev=1.2553e-06
AvgFitness=1.00661e-05 StdDev=1.29373e-06
AvgFitness=1.00011e-05 StdDev=1.28351e-06
AvgFitness=1.00033e-05 StdDev=1.32953e-06
AvgFitness=1.00776e-05 StdDev=1.31604e-06
AvgFitness=1.01289e-05 StdDev=1.29608e-06
AvgFitness=1.01282e-05 StdDev=1.31126e-06
AvgFitness=1.01971e-05 StdDev=1.32559e-06
AvgFitness=1.0148e-05 StdDev=1.29946e-06
AvgFitness=1.0135e-05 StdDev=1.26783e-06
AvgFitness=1.01017e-05 StdDev=1.26645e-06
AvgFitness=1.01665e-05 StdDev=1.28e-06
AvgFitness=1.02001e-05 StdDev=1.2208e-06
AvgFitness=1.01802e-05 StdDev=1.19818e-06
AvgFitness=1.0228e-05 StdDev=1.23058e-06
AvgFitness=1.02326e-05 StdDev=1.22312e-06
AvgFitness=1.02575e-05 StdDev=1.24529e-06
AvgFitness=1.02614e-05 StdDev=1.25915e-06
AvgFitness=1.02722e-05 StdDev=1.26703e-06
